YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,6,17,16.14,0.0,72.12,5.28,98.86,202104
2021,4,6,18,15.44,0.0,75.81,4.98,98.89,202104
2021,4,6,19,14.9,0.0,78.06,4.91,98.9,202104
2021,4,6,20,13.97,0.0,80.5,5.39,98.91,202104
2021,4,6,21,13.26,0.0,81.88,6.34,98.93,202104
2021,4,6,22,12.81,0.0,81.62,7.15,98.94,202104
2021,4,6,23,12.24,0.0,82.81,6.82,98.95,202104
2021,4,7,0,11.56,0.0,87.06,6.09,98.97,202104
2021,4,7,1,10.99,0.0,92.12,5.59,98.98,202104
2021,4,7,2,10.65,0.0,96.31,5.59,98.97,202104
2021,4,7,3,10.38,0.0,100.0,5.76,98.95,202104
2021,4,7,4,10.07,0.0,100.0,5.55,98.94,202104
2021,4,7,5,10.02,0.0,100.0,5.49,98.92,202104
2021,4,7,6,10.66,0.01,99.06,5.81,98.93,202104
2021,4,7,7,11.58,0.0,96.69,5.56,98.92,202104
2021,4,7,8,12.98,0.0,93.44,5.64,98.9,202104
2021,4,7,9,14.51,0.01,87.31,5.91,98.86,202104
2021,4,7,10,15.73,0.05,80.44,6.02,98.8,202104
2021,4,7,11,16.59,0.07,75.5,6.02,98.73,202104
2021,4,7,12,17.14,0.15,71.5,6.14,98.64,202104
2021,4,7,13,17.34,0.12,68.06,6.59,98.55,202104
2021,4,7,14,17.32,0.11,66.56,6.82,98.48,202104
2021,4,7,15,16.96,0.08,67.88,6.55,98.46,202104
2021,4,7,16,16.39,0.09,70.88,6.32,98.45,202104
2021,4,7,17,15.43,0.15,74.31,6.42,98.45,202104
2021,4,7,18,14.2,0.18,77.62,6.67,98.44,202104
2021,4,7,19,13.63,0.16,79.81,6.99,98.46,202104
2021,4,7,20,13.21,0.08,83.69,6.83,98.47,202104
2021,4,7,21,12.88,0.01,89.06,6.79,98.45,202104
2021,4,7,22,12.44,0.01,96.06,6.76,98.41,202104
2021,4,7,23,12.06,0.03,100.0,6.61,98.37,202104
2021,4,8,0,12.01,0.07,100.0,6.79,98.31,202104
2021,4,8,1,11.96,0.13,100.0,6.89,98.23,202104
2021,4,8,2,11.94,0.07,100.0,6.77,98.15,202104
2021,4,8,3,11.76,0.06,100.0,6.69,98.08,202104
2021,4,8,4,11.6,0.05,100.0,6.72,98.09,202104
2021,4,8,5,11.49,0.03,100.0,6.76,98.1,202104
2021,4,8,6,11.69,0.15,100.0,7.23,98.08,202104
2021,4,8,7,12.11,0.25,98.25,7.13,98.04,202104
2021,4,8,8,12.51,1.08,95.44,6.6,98.0,202104
2021,4,8,9,12.63,1.64,93.44,6.23,97.95,202104
2021,4,8,10,12.68,1.63,94.06,5.73,97.89,202104
2021,4,8,11,12.73,1.64,93.25,5.48,97.85,202104
2021,4,8,12,12.41,0.73,90.81,5.44,97.87,202104
2021,4,8,13,12.0,0.08,85.69,5.4,97.89,202104
2021,4,8,14,12.05,0.07,81.75,4.62,97.91,202104
2021,4,8,15,12.12,0.18,79.81,4.54,97.92,202104
2021,4,8,16,11.69,0.21,80.88,5.09,97.95,202104
2021,4,8,17,10.99,0.07,82.62,5.31,98.0,202104
2021,4,8,18,10.2,0.03,83.75,5.68,98.05,202104
2021,4,8,19,9.48,0.02,86.19,5.78,98.12,202104
2021,4,8,20,8.76,0.02,89.0,5.85,98.16,202104
2021,4,8,21,8.25,0.02,90.94,6.08,98.17,202104
2021,4,8,22,8.02,0.02,91.56,6.32,98.16,202104
2021,4,8,23,7.82,0.01,92.5,6.18,98.14,202104
2021,4,9,0,7.66,0.02,93.88,5.93,98.12,202104
2021,4,9,1,7.82,0.05,93.56,6.3,98.08,202104
2021,4,9,2,8.07,0.09,93.31,6.33,98.04,202104
2021,4,9,3,8.23,0.09,94.19,6.1,98.02,202104
2021,4,9,4,8.3,0.07,95.19,5.85,98.04,202104
2021,4,9,5,8.31,0.04,95.81,5.7,98.07,202104
2021,4,9,6,8.39,0.02,95.62,5.74,98.11,202104
2021,4,9,7,8.83,0.01,92.31,6.3,98.14,202104
2021,4,9,8,9.52,0.01,83.62,7.18,98.17,202104
2021,4,9,9,10.19,0.01,77.31,7.55,98.2,202104
2021,4,9,10,10.53,0.01,74.75,7.59,98.2,202104
2021,4,9,11,10.75,0.01,74.38,7.3,98.21,202104
2021,4,9,12,11.31,0.01,73.0,7.09,98.21,202104
2021,4,9,13,11.92,0.0,71.25,6.96,98.21,202104
2021,4,9,14,12.31,0.0,70.25,6.69,98.23,202104
2021,4,9,15,12.29,0.0,71.0,6.16,98.29,202104
2021,4,9,16,12.23,0.0,72.62,5.48,98.37,202104
2021,4,9,17,11.87,0.0,76.5,4.45,98.43,202104
2021,4,9,18,10.88,0.0,81.88,3.82,98.48,202104
2021,4,9,19,10.52,0.0,82.88,3.37,98.54,202104
2021,4,9,20,10.44,0.0,83.19,2.9,98.59,202104
2021,4,9,21,10.28,0.0,84.44,2.61,98.59,202104
2021,4,9,22,9.79,0.0,87.38,2.68,98.57,202104
2021,4,9,23,9.13,0.0,91.38,2.88,98.55,202104
2021,4,10,0,8.96,0.0,93.75,2.48,98.48,202104
2021,4,10,1,8.94,0.0,95.19,1.93,98.45,202104
2021,4,10,2,8.87,0.0,96.75,1.32,98.44,202104
2021,4,10,3,8.52,0.0,98.56,1.29,98.43,202104
2021,4,10,4,8.05,0.0,99.56,1.87,98.43,202104
2021,4,10,5,7.49,0.01,100.0,2.67,98.39,202104
2021,4,10,6,7.87,0.04,96.94,3.47,98.35,202104
2021,4,10,7,8.09,0.11,95.12,4.13,98.29,202104
2021,4,10,8,8.23,2.38,94.31,4.25,98.3,202104
2021,4,10,9,8.22,1.84,94.62,4.9,98.29,202104
2021,4,10,10,8.33,0.66,94.06,5.38,98.16,202104
2021,4,10,11,8.48,0.8,93.62,5.22,98.04,202104
2021,4,10,12,8.72,0.95,94.19,5.3,97.92,202104
2021,4,10,13,9.12,0.34,95.25,5.73,97.77,202104
2021,4,10,14,9.44,0.2,96.44,6.16,97.59,202104
2021,4,10,15,9.69,0.19,97.0,6.36,97.47,202104
2021,4,10,16,9.76,0.17,97.62,6.02,97.4,202104
2021,4,10,17,9.58,0.25,99.06,5.64,97.34,202104
2021,4,10,18,9.37,0.91,100.0,5.01,97.3,202104
2021,4,10,19,9.63,2.04,100.0,3.48,97.26,202104
